name,address,category,website,social_media,website_status,data_status
Vail, ,unknown,No Website,,,Incomplete
West Vail, ,unknown,No Website,,,Incomplete
Riva Bahn Express Lift, ,unknown,No Website,,,Incomplete
Mid-unload, ,unknown,No Website,,,Incomplete
Ptarmigan Point, ,unknown,No Website,,,Incomplete
Vail Whitewater Park Rapid, ,unknown,No Website,,,Incomplete
Arrabelle Loading Dock, ,unknown,No Website,,,Incomplete
Lionshead Village, ,unknown,No Website,,,Incomplete
Gopher Hill Lift, ,unknown,No Website,,,Incomplete
Gore Valley Trail, ,unknown,No Website,,,Incomplete
Rock Garden Entrance, ,unknown,No Website,,,Incomplete
North Gate, ,unknown,No Website,,,Incomplete
Vail Mountain Resort, ,sports_centre,No Website,,,Incomplete
Wildwood Smokehouse, ,restaurant,No Website,,,Incomplete
Garfinkel's,East Lionshead Circle 536,restaurant,Has Website,,https://garfsvail.com,Complete
10th Mountain Whiskey and Spirit Co, ,pub,No Website,,,Incomplete
Simonton Observation Deck/Holy Cross Overlook, ,viewpoint,No Website,,,Incomplete
Pepi’s Restaurant,Gore Creek Drive 231,restaurant,No Website,,,Incomplete
The Squash Blossom,Gore Creek Drive 198,jewelry,Has Website,,https://squashblossom.com,Complete
Mountain Standard,Gore Creek Drive 193,restaurant,Has Website,,https://mtnstandard.com,Complete
CMX CINÉBISTRO Solaris, ,cinema,Has Website,,https://cinebistro.com/solaris,Complete
Vail's Cigar Humidor, ,tobacco,No Website,,,Incomplete
Starbucks,North Frontage Road West 2131,cafe,Has Website,,https://www.starbucks.com/store-locator/store/13104/safeway-vail-631-2131-n-frontage-rd-w-vail-co-816574957-us,Complete
Subway,North Frontage Road 2161,fast_food,Has Website,,https://restaurants.subway.com/united-states/co/vail/2161-n-frontage-road,Complete
Northside Kitchen Grab & Go, ,fast_food,No Website,,,Incomplete
Soap's Up, ,laundry,No Website,,,Incomplete
National Velvet, ,dry_cleaning,No Website,,,Incomplete
Christy Sports, ,sports,No Website,,,Incomplete
Elevated Dental, ,dentist,Has Website,,https://www.elevateddentalvail.com,Complete
Alpine Wine & Spirits, ,alcohol,Has Website,,https://www.alpinewinevail.com,Complete
First Bank, ,bank,No Website,,,Incomplete
UDON, ,fast_food,No Website,,,Incomplete
Joy Sushi, ,fast_food,No Website,,,Incomplete
Qdoba,North Frontage Road West 2161,fast_food,Has Website,,https://locations.qdoba.com/us/co/vail/2161-n-frontage-rd-w.html,Complete
Viele Construction, ,company,No Website,,,Incomplete
Timberline Sports Barbers, ,hairdresser,No Website,,,Incomplete
