name,address,category,website,social_media,website_status,data_status
Avon, ,unknown,Has Website,,https://www.avon.com/,Complete
Edwards Cemetery, ,grave_yard,Has Website,,https://roadsidethoughts.com/co/cemeteries/edwards-cemetery-xx-eagle-profile.htm,Complete
B and B Edwards Pit, ,unknown,No Website,,,Incomplete
Avon Mine, ,unknown,No Website,,,Incomplete
Dusty Boot Steakhouse & Saloon,Offerson Road 210,restaurant,Has Website,,https://www.dustyboot.com/,Complete
Metropolitan,Offerson Road 210,restaurant,No Website,,,Incomplete
Beaver Creek Resort, ,sports_centre,Has Website,,https://www.beavercreek.com/,Complete
AH7734/GPS 008, ,unknown,No Website,,,Incomplete
Subway,East Beaver Creek Boulevard 0047,fast_food,Has Website,,https://restaurants.subway.com/united-states/co/avon/0047-east-beaver-creek-blvd,Complete
Benderz Burgers, ,restaurant,No Website,,,Incomplete
Northside Kitchen, ,restaurant,No Website,,,Incomplete
Vail Brewing Co, ,pub,No Website,,,Incomplete
Bob's Place, ,bar,No Website,,,Incomplete
Buz's Place, ,bench,No Website,,,Incomplete
Pazzo's Pizzeria, ,restaurant,Has Website,,https://www.pazzospizza.com/,Complete
Avon Whitewater Park, ,park,No Website,,,Incomplete
Mountain Vista, ,unknown,No Website,,,Incomplete
TV8 Vail,Benchmark Road 137,studio,Has Website,,https://www.tv8vail.com,Complete
Buck Creek Medical Center,Buck Creek Road 50,hospital,No Website,,,Incomplete
Avon Police Department,Buck Creek Road 60,police,No Website,,,Incomplete
Eagle River Station 7,Buck Creek Road 60,fire_station,No Website,,,Incomplete
Blue Moose Pizza, ,restaurant,No Website,,,Incomplete
Beaver Creek Chophouse, ,restaurant,No Website,,,Incomplete
Loaded Joe's,East Beaver Creek Boulevard 82,restaurant,Has Website,,https://www.loadedjoes.com,Complete
Valley Girl Boutique,Beaver Creek Place 142,clothes,Has Website,,https://rubyjane.com,Complete
P. Furniture & Design II,Beaver Creek Place 142,furniture,Has Website,,https://www.pfurnitureanddesign.com/,Complete
Kiwi International Delights,Beaver Creek Place 142,ice_cream,Has Website,,https://www.kiwiinternationaldelights.com/,Complete
Axis Sports Medicine,Beaver Creek Place 142,unknown,No Website,,,Incomplete
Vail Lights,Beaver Creek Place 142,lighting,Has Website,,http://vaillightsinc.com,Complete
Doctors On Call,Beaver Creek Place 142,doctors,Has Website,,https://doctorsoncallavon.com/,Complete
Looking Good Salon,Beaver Creek Place 142,hairdresser,Has Website,,https://www.vagaro.com/lookinggoodsalon,Complete
Starbucks,Hurd Lane 25,cafe,Has Website,,https://www.starbucks.com/store-locator/store/13339/25-hurd-lane-avon-25-hurd-lane-avon-co-816203597-us,Complete
